Source,Target,Weight
recent,year,2
year,",",2
",",beauti,4
",",driven,1
",",limit,1
",",recent,1
",",notic,1
",",brand,1
",",mani,2
",",lead,2
",",respons,1
",",featur,1
",",bodi,1
",",age,1
",",gender,2
",",rise,2
",",regardless,1
",",ethnic,1
",",ident,1
",",essenti,1
beauti,industri,4
beauti,perpetu,1
beauti,brand,5
beauti,repres,1
industri,undergon,1
industri,critic,1
industri,expans,1
industri,.,2
undergon,profound,1
profound,transform,1
transform,",",1
driven,grow,1
grow,demand,2
demand,inclus,2
demand,divers,1
demand,greater,1
inclus,represent,1
inclus,",",2
inclus,foundat,1
inclus,market,1
inclus,consumers.furthermor,1
inclus,beauti,2
inclus,authent,1
inclus,welcom,1
represent,.,1
represent,reflect,1
represent,divers,1
represent,inclus,1
.,histor,1
.,howev,2
.,previous,1
.,shift,1
.,platform,1
.,put,1
.,embrac,1
.,consum,1
histor,",",1
critic,lack,1
lack,divers,1
divers,",",2
divers,celebr,2
divers,rang,1
divers,custom,1
divers,industry.ultim,1
divers,industri,1
divers,aspect,1
limit,shade,1
limit,option,1
shade,rang,4
rang,narrow,1
rang,accommod,1
rang,introduc,1
rang,skin,1
rang,",",1
narrow,definit,1
definit,beauti,1
perpetu,harm,1
harm,stereotyp,1
stereotyp,exclusionari,1
exclusionari,standard,1
standard,.,1
howev,",",2
notic,shift,1
shift,toward,2
toward,greater,3
greater,inclus,1
greater,represent,3
greater,accept,1
brand,embrac,1
brand,offer,1
brand,expand,1
brand,also,1
brand,inclus,1
brand,creat,1
brand,listen,1
embrac,divers,2
celebr,individu,2
individu,market,1
individu,share,1
individu,",",1
market,product,1
market,advertis,1
market,effort,1
product,offerings.on,1
offerings.on,signific,1
signific,chang,1
signific,role,1
chang,beauti,1
expans,shade,1
accommod,broader,1
broader,spectrum,1
spectrum,skin,1
skin,tone,2
skin,tones.in,1
tone,.,1
tone,",",1
previous,",",1
mani,beauti,1
mani,brand,1
offer,limit,1
option,peopl,1
peopl,darker,1
darker,skin,1
lead,frustrat,1
lead,greater,1
frustrat,alien,1
alien,among,1
among,consum,1
consum,color,1
consum,",",1
consum,continu,1
color,.,1
respons,grow,1
expand,shade,2
introduc,inclus,1
foundat,line,1
line,cater,1
cater,divers,1
tones.in,addit,1
addit,expand,1
also,becom,1
also,send,1
becom,inclus,1
advertis,campaign,1
campaign,",",1
featur,model,1
model,differ,1
differ,ethnic,1
ethnic,",",2
bodi,type,1
type,",",1
age,",",1
gender,ident,1
gender,",",1
ident,.,2
reflect,divers,1
custom,base,1
custom,priorit,1
base,also,1
send,power,1
power,messag,1
messag,accept,1
accept,inclus,1
accept,divers,1
consumers.furthermor,",",1
rise,social,1
rise,inclus,1
social,media,1
media,play,1
play,signific,1
role,drive,1
drive,demand,1
platform,like,1
platform,underrepres,1
like,instagram,1
instagram,youtub,1
youtub,given,1
given,voic,1
voic,margin,1
margin,commun,1
commun,provid,1
provid,platform,1
underrepres,individu,1
share,stori,1
stori,experi,1
experi,.,1
put,pressur,1
pressur,beauti,1
authent,market,1
effort,",",1
industry.ultim,",",1
repres,posit,1
posit,step,1
step,toward,1
creat,inclus,1
welcom,space,1
space,consum,1
regardless,race,1
race,",",1
continu,demand,1
essenti,beauti,1
listen,custom,1
priorit,divers,1
aspect,busi,1
busi,.,1
