Source,Target,Weight
breakout,role,2
role,``,2
role,local,1
role,critic,1
role,film,1
role,model,1
``,winter,2
``,hunger,1
``,silver,2
``,american,1
``,joy,1
``,addit,1
winter,'s,2
's,bone,2
's,biggest,1
bone,'',1
bone,",",1
'',icon,1
'',franchis,1
'',receiv,1
'',``,2
'',lawrenc,1
icon,portray,1
portray,katniss,1
katniss,everdeen,1
everdeen,``,1
hunger,game,1
game,'',1
franchis,",",1
",",lawrenc,6
",",kentucki,1
",",lead,1
",",'',4
",",includ,1
",",use,1
",",pay,1
",",mental,1
",",support,1
",",promot,1
",",provid,1
",",often,1
",",admir,1
",",wit,1
",",unwav,1
",",jennif,1
",",advoc,1
",",role,1
",",charisma,1
",",dedic,1
",",leav,1
lawrenc,becom,1
lawrenc,discov,1
lawrenc,continu,2
lawrenc,earn,1
lawrenc,also,1
lawrenc,foundat,1
lawrenc,remain,1
lawrenc,hollywood,1
becom,one,1
one,sought-aft,1
one,hollywood,1
sought-aft,acclaim,1
acclaim,actress,1
acclaim,drama,1
acclaim,accolad,1
actress,generation.born,1
actress,role,1
generation.born,rais,1
rais,louisvil,1
rais,awar,1
louisvil,",",1
kentucki,",",1
discov,passion,1
passion,act,1
act,young,1
act,career,1
young,age,1
age,began,1
began,pursu,1
pursu,role,1
local,theater,1
theater,product,1
product,.,1
.,talent,2
.,role,1
.,``,1
.,jennif,1
.,authent,1
talent,determin,1
talent,",",2
determin,caught,1
caught,attent,1
attent,industri,1
industri,insid,1
industri,beyond,1
insid,",",1
lead,breakout,1
critic,acclaim,1
critic,alik,1
drama,``,1
receiv,first,1
first,academi,1
academi,award,2
award,nomination.sinc,1
award,best,1
nomination.sinc,",",1
continu,dazzl,1
continu,inspir,1
dazzl,audienc,1
audienc,critic,1
audienc,around,1
alik,captiv,1
captiv,perform,1
perform,magnet,1
magnet,screen,1
screen,presenc,1
screen,.,1
presenc,.,1
film,like,1
like,``,1
like,gender,1
silver,line,2
silver,screen,1
line,playbook,2
playbook,",",1
playbook,.,1
american,hustl,1
hustl,",",1
joy,",",1
earn,widespread,1
widespread,acclaim,1
accolad,",",1
includ,academi,1
best,actress,1
addit,act,1
career,",",1
career,.,1
also,known,1
known,outspoken,1
outspoken,advocaci,1
advocaci,work,1
work,",",1
use,platform,1
platform,rais,1
awar,import,1
import,issu,1
issu,like,1
gender,equal,1
equal,",",1
pay,dispar,1
dispar,",",1
mental,health,1
health,.,1
jennif,lawrenc,2
foundat,",",1
support,numer,1
support,need.despit,1
numer,caus,1
caus,initi,1
initi,aim,1
aim,empow,1
empow,women,1
empow,audienc,1
women,",",1
promot,educ,1
educ,",",1
provid,support,1
need.despit,statu,1
statu,one,1
hollywood,'s,1
hollywood,star,1
biggest,star,1
star,",",1
star,;,1
remain,refreshingli,1
refreshingli,down-to-earth,1
down-to-earth,relat,1
relat,",",1
often,share,1
share,candid,1
candid,humor,1
humor,anecdot,1
anecdot,life,1
life,career,1
authent,endear,1
endear,fan,1
fan,around,1
around,world,2
world,",",3
admir,talent,1
wit,",",1
unwav,commit,1
commit,stay,1
stay,true,1
true,herself.in,1
herself.in,conclus,1
conclus,",",1
;,trailblaz,1
trailblaz,",",1
advoc,",",1
model,whose,1
whose,influenc,1
influenc,extend,1
extend,far,1
far,beyond,1
beyond,silver,1
beyond,.,1
charisma,",",1
dedic,make,1
make,differ,1
differ,world,1
inspir,empow,1
leav,indel,1
indel,mark,1
mark,entertain,1
entertain,industri,1
